elkYear,date,X,Y,elevation
2055_1,2001-06-03,567381.000000005,4961060,2368.46948242188
2073_1,2001-06-03,528602.000000032,4904157,2372.74609375
2055_1,2001-06-04,568527.999999991,4960152,2221.27880859375
2059_1,2001-06-04,562290.00000001,4981889,2011.37377929688
2073_1,2001-06-04,528766.999999975,4901943,2389.94262695313
2059_1,2001-06-05,560738.000000016,4980185,2002.5751953125
2055_1,2001-06-05,568670.999999964,4959727,2345.0322265625
2073_1,2001-06-05,527759.00000001,4900596,2380.94018554688
2059_1,2001-06-06,559563.999999979,4979775,2010.86560058594
2073_1,2001-06-06,527725.99999999,4900602.00000001,2381.5703125
2055_1,2001-06-06,568384.00000001,4959230,2315.73852539063
2059_1,2001-06-07,559516,4979819,2010.84045410156
2055_1,2001-06-07,568539.000000033,4959315.00000001,2276.21069335938
2073_1,2001-06-07,528882.999999967,4902756.00000001,2388.00439453125
2055_1,2001-06-08,568447.999999996,4959332,2304.54443359375
2059_1,2001-06-08,559938.999999996,4979706,2002.82250976563
2073_1,2001-06-08,528442.999999997,4901724,2426.85791015625
2059_1,2001-06-09,559529.999999972,4979530.00000001,2005.13745117188
2073_1,2001-06-09,528883.000000036,4902332,2384.70556640625
2055_1,2001-06-09,568403.000000012,4959297,2314.8818359375
2059_1,2001-06-10,559408.000000001,4979254,2003.70056152344
2073_1,2001-06-10,528495.999999991,4904005,2373.55688476563
2055_1,2001-06-10,568423.000000008,4959240,2297.4765625
2055_1,2001-06-11,568388.000000011,4959195,2311.76733398438
2073_1,2001-06-11,528107.000000035,4904641,2374.92333984375
2059_1,2001-06-11,559500.999999974,4979126,1998.06323242188
2073_1,2001-06-12,527841.000000004,4903614,2486.05029296875
2059_1,2001-06-12,559352.99999998,4979262,2014.0361328125
2055_1,2001-06-12,569159.000000032,4957960,2479.32153320313
2073_1,2001-06-13,527766.999999987,4904451,2384.16772460938
2055_1,2001-06-13,569157.999999979,4956828,2519.47241210938
2059_1,2001-06-13,559408.999999995,4979160,2015.490234375
2059_1,2001-06-14,559560.000000006,4979084,1998.06420898438
2055_1,2001-06-14,568961.999999962,4958658,2344.16772460938
2073_1,2001-06-14,528487.000000026,4904364,2373.36010742188
