elkYear,date,X,Y,elevation
3053_2,2019-12-01,655456.013550982,4825631.73970391,2475.2216796875
3054_2,2019-12-01,726730.275028261,4813518.03619853,1783.66821289063
3076_2,2019-12-01,651957.381781524,4836166.82937468,2721.59692382813
3060_2,2019-12-01,628401.3894967,4831648.98967848,2293.50073242188
3064_2,2019-12-01,701803.748206718,4820033.9639993,2117.8115234375
3071_2,2019-12-01,701174.276323512,4821341.39004423,2016.73986816406
3077_2,2019-12-01,727202.337958285,4813543.49997355,1810.55847167969
3035_2,2019-12-01,656843.945358326,4759303.92882431,2009.14770507813
3036_2,2019-12-01,656157.437543452,4765448.99249888,2041.45556640625
3037_2,2019-12-01,660735.421009526,4759107.99047536,1934.46411132813
3040_2,2019-12-01,664219.699878701,4758675.57826081,1924.97900390625
3041_2,2019-12-01,651658.714822772,4834071.42027163,2781.41870117188
3043_2,2019-12-01,648518.487885433,4827630.06715935,2427.2255859375
3044_2,2019-12-01,652658.964653167,4821762.01757911,2165.5732421875
3045_2,2019-12-01,665763.435082563,4756824.41128995,1865.31518554688
3046_2,2019-12-01,658352.670804478,4780587.01459121,1893.47790527344
3047_2,2019-12-01,651753.202841625,4834178.46008363,2781.33935546875
3049_2,2019-12-01,655418.277164787,4825764.4345007,2532.82373046875
3055_2,2019-12-01,663452.770245721,4751762.00351543,2557.02661132813
3056_2,2019-12-01,641608.442001178,4828872.9487317,2661.42431640625
3074_2,2019-12-01,719825.987456098,4823490.6363402,2063.142578125
3057_1,2019-12-01,626066.22246965,4844897.90061803,2606.150390625
3058_2,2019-12-01,694080.339346587,4839470.09589199,1831.73486328125
3059_2,2019-12-01,641622.324728106,4828873.24199938,2661.42431640625
3075_2,2019-12-01,684159.435699204,4824068.56563111,2414.11767578125
3061_2,2019-12-01,655604.503226274,4825806.86508269,2530.71411132813
3062_2,2019-12-01,628538.648650027,4833520.72041559,2292.30834960938
3063_2,2019-12-01,651188.71767274,4834947.75099007,2863.63061523438
3065_2,2019-12-01,701621.491717028,4820553.30007853,2086.396484375
3066_2,2019-12-01,684019.945375121,4824093.30613483,2376.3115234375
3068_2,2019-12-01,666111.664203075,4756909.06402444,1851.2744140625
3069_2,2019-12-01,639090.282740702,4788185.81989538,2326.5048828125
3070_2,2019-12-01,626241.32770639,4836728.7536362,2534.87182617188
3042_2,2019-12-01,631947.215384835,4841168.42348207,2673.04663085938
3073_2,2019-12-01,702398.611433106,4831845.08060751,1711.6083984375
3051_2,2019-12-01,650704.578507613,4767462.80460126,2783.08032226563
3067_2,2019-12-01,652028.170719371,4832744.46139958,2712.92700195313
3072_2,2019-12-02,683481.601603848,4823735.13157749,2327.7802734375
3073_2,2019-12-02,702450.307725971,4831283.69351022,1863.97399902344
3051_2,2019-12-02,651471.82022345,4770083.13844778,2581.08569335938
3057_1,2019-12-02,627742.872212181,4840733.80517239,2978.03491210938
3059_2,2019-12-02,645144.313396711,4827222.40621797,2784.63037109375
3061_2,2019-12-02,655756.967865338,4825810.40220521,2511.60205078125
3063_2,2019-12-02,650333.991914978,4834461.12263136,2808.361328125
3071_2,2019-12-02,701542.018669845,4818337.31897592,2212.0966796875
3033_2,2019-12-02,627051.474448376,4805523.72135837,2037.25463867187
3035_2,2019-12-02,654786.948540343,4759219.04421419,2407.51025390625
3036_2,2019-12-02,656270.905200126,4765995.14037825,2054.70703125
3037_2,2019-12-02,659760.253628054,4759180.52155996,1949.86376953125
3038_2,2019-12-02,627107.033767285,4805524.76689246,2035.13208007813
3040_2,2019-12-02,664270.019890699,4758915.23990005,1880.79040527344
3041_2,2019-12-02,653275.565383652,4833030.48015892,2648.0087890625
3043_2,2019-12-02,647119.779582065,4826607.30615225,2649.33203125
3044_2,2019-12-02,654990.141368215,4825382.49666267,2370.40209960938
3045_2,2019-12-02,664076.774391498,4758796.1608755,1889.73181152344
3046_2,2019-12-02,656569.652089515,4766087.75249981,2039.49584960938
3047_2,2019-12-02,652197.609927615,4833826.07397418,2781
3048_2,2019-12-02,652888.829587576,4833584.35762361,2669.04345703125
3052_2,2019-12-02,649885.124992601,4776742.81395581,2196.85693359375
3053_2,2019-12-02,654552.053350094,4826335.70625266,2548.8779296875
3054_2,2019-12-02,725143.012770291,4812739.53243709,1838.84875488281
3056_2,2019-12-02,645104.179169566,4827154.75806981,2771.50512695313
3074_2,2019-12-02,718559.225146335,4824012.32680181,1920.09606933594
3058_2,2019-12-02,696107.771398524,4839281.28446256,1741.50024414063
3076_2,2019-12-02,652184.171255192,4833806.65557869,2773.037109375
3060_2,2019-12-02,628665.160772531,4834867.73293852,2500.97314453125
3075_2,2019-12-02,683537.888770562,4824213.71040266,2336.5634765625
3064_2,2019-12-02,701487.120355763,4818316.55440927,2213.26025390625
3065_2,2019-12-02,701256.438848288,4818595.89381712,2215.69287109375
3078_2,2019-12-02,722831.611345188,4813235.31894072,1976.25244140625
3066_2,2019-12-02,683749.297331206,4824095.45287772,2393.4208984375
3067_2,2019-12-02,653251.918684758,4833153.83974064,2633.78881835938
3068_2,2019-12-02,664578.454537838,4758321.8324235,1859.62170410156
3069_2,2019-12-02,643982.179759213,4787992.24887577,2180.6279296875
3070_2,2019-12-02,626771.08705398,4836166.59377226,2541.22998046875
3077_2,2019-12-02,725561.05958224,4813755.54259435,1824.28369140625
3042_2,2019-12-02,631345.446530203,4841871.75794697,2869.05859375
3049_2,2019-12-02,656998.897030953,4824008.0316893,2318.16381835938
3055_2,2019-12-02,666975.294428509,4753954.40923405,1974.1669921875
3062_2,2019-12-02,628658.744952368,4835201.36678409,2487.34619140625
3035_2,2019-12-03,654015.754306057,4759878.76108957,2686.61181640625
3040_2,2019-12-03,661471.518045167,4756998.57498704,2244.330078125
3045_2,2019-12-03,659659.257082177,4753284.44864485,2799.23901367188
3073_2,2019-12-03,702597.422173294,4830772.88161737,1807.54846191406
3055_2,2019-12-03,668496.209096967,4753104.62477676,1920.32104492188
3074_2,2019-12-03,715058.737602816,4821675.85346232,1671.35681152344
3057_1,2019-12-03,627930.379360875,4833461.40433794,2357.79638671875
3076_2,2019-12-03,653687.345966716,4832896.79442699,2610.30395507813
3059_2,2019-12-03,642370.437574001,4827258.28890674,2887.9951171875
3060_2,2019-12-03,624851.201538299,4833326.93890323,2460.3330078125
3062_2,2019-12-03,624832.606255893,4833212.15765234,2436.28662109375
3063_2,2019-12-03,648713.683792664,4834758.72041964,3025.93627929688
3033_2,2019-12-03,626691.889923797,4805784.04388211,2036.13659667969
3036_2,2019-12-03,656546.239263698,4765276.6585249,2018.60461425781
3037_2,2019-12-03,657223.684847375,4759236.29826058,2015.22021484375
3038_2,2019-12-03,626793.51723286,4805928.93397427,2039.55554199219
3041_2,2019-12-03,653876.884089378,4832786.6917274,2608.09521484375
3042_2,2019-12-03,630945.302420731,4841816.23284791,2870.7041015625
3043_2,2019-12-03,642313.976573706,4826980.53203731,2804.24731445313
3044_2,2019-12-03,654514.695285443,4826754.55212462,2498.58154296875
3047_2,2019-12-03,652984.041743937,4833662.76242522,2681.89282226563
3048_2,2019-12-03,653372.124801053,4833652.64114913,2718.0322265625
3049_2,2019-12-03,656970.700295842,4824322.18424876,2379.02880859375
3051_2,2019-12-03,652187.192479828,4770614.03322146,2275.03393554688
3052_2,2019-12-03,656525.436050447,4765266.6268198,2018.69799804688
3053_2,2019-12-03,653565.240512571,4826732.7507856,2449.03540039063
3054_2,2019-12-03,724467.876927305,4812545.22830417,1746.67822265625
3056_2,2019-12-03,643339.128794799,4826372.90497012,2833.60815429688
3058_2,2019-12-03,694420.051315839,4837075.69036239,1980.25732421875
3061_2,2019-12-03,653658.40714822,4826601.31673973,2461.27368164063
3064_2,2019-12-03,704900.400229837,4817551.44123679,2079.08422851563
3078_2,2019-12-03,722370.347116214,4813515.83331948,1993.74926757813
3066_2,2019-12-03,683565.678178132,4824214.4700867,2349.005859375
3067_2,2019-12-03,653778.027681899,4832870.31810709,2602.38208007813
3068_2,2019-12-03,662141.257570686,4755040.21435888,2380.56103515625
3069_2,2019-12-03,641090.170054097,4785223.2803211,2340.24096679688
3070_2,2019-12-03,627313.751970187,4836024.35643775,2517.03686523438
3071_2,2019-12-03,701418.983010097,4818037.82908,2117.654296875
3077_2,2019-12-03,725516.622006237,4812589.79976059,1911.36193847656
3046_2,2019-12-03,657272.197660286,4765960.87434356,2003.42919921875
3075_2,2019-12-03,683723.05935459,4824295.02125892,2330.47265625
3065_2,2019-12-03,704927.269882635,4817580.82931652,2070.51416015625
3033_2,2019-12-04,629115.815278672,4805572.43052887,2060.85107421875
3043_2,2019-12-04,641521.452638181,4826753.87450083,2722.64794921875
3046_2,2019-12-04,657954.15597424,4766119.59530662,1993.54614257813
3053_2,2019-12-04,652597.571448839,4827816.98255121,2639.42944335938
3074_2,2019-12-04,713724.720041116,4816451.80736057,2138.14990234375
3058_2,2019-12-04,693512.83148855,4836829.94961728,1947.35314941406
3076_2,2019-12-04,653479.097734976,4834122.36186863,2795.10009765625
3060_2,2019-12-04,619979.969092347,4832722.9196236,2512.6357421875
3075_2,2019-12-04,684053.643337335,4825143.56947527,2329.22094726563
3061_2,2019-12-04,652589.9792531,4827845.36772222,2638.89672851563
3065_2,2019-12-04,708999.734904575,4817772.90451186,1998.69396972656
3035_2,2019-12-04,654484.281617041,4759908.30958063,2665.12622070313
3036_2,2019-12-04,656198.132020229,4763666.4801247,2335.56591796875
3038_2,2019-12-04,629561.608593914,4805533.3072703,2049.20092773438
3039_2,2019-12-04,678163.643116029,4750420.48837554,1718.85278320313
3040_2,2019-12-04,660967.802506846,4756967.62087797,2339.15551757813
3041_2,2019-12-04,655367.718831892,4833326.62013865,2784.76904296875
3044_2,2019-12-04,654317.673425765,4826578.33437952,2501.26342773438
3045_2,2019-12-04,661929.19597788,4751554.24668709,2721.7626953125
3073_2,2019-12-04,703074.591746164,4830357.99706435,1785.36987304688
3048_2,2019-12-04,652832.488840508,4832715.10062713,2757.65283203125
3049_2,2019-12-04,657368.379432484,4824226.59355798,2444.66845703125
3051_2,2019-12-04,653954.018108101,4771941.08004927,2018.72668457031
3052_2,2019-12-04,658016.028856612,4766168.80335691,2005.6328125
3054_2,2019-12-04,723191.217221868,4812035.18446522,1653.27075195313
3055_2,2019-12-04,669717.101321183,4751360.66933886,2002.16711425781
3056_2,2019-12-04,641706.895994094,4826509.89883669,2734.71484375
3057_1,2019-12-04,629163.800061498,4834143.05048486,2358.90380859375
